category,price,rating,stock,title,upc
Biography,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Biography,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
Spirituality,[17.66],[5.0],[18],The Four Agreements: A Practical Guide to Personal Freedom,6258a1f6a6dcfe50
Biography,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Biography,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Biography,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Spirituality,[20.91],[1.0],[9],If I Gave You God's Phone Number....: Searching for Spirituality in America,8fab4c4f6f82a4ce
Spirituality,[55.65],[5.0],[4],A New Earth: Awakening to Your Life's Purpose,f6ae39568db1130e
Spirituality,[37.8],[2.0],[15],Chasing Heaven: What Dying Taught Me About Living,513271dadc1322ae
Spirituality,[32.24],[5.0],[16],The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,7d6d2a6c0276f81b
Spirituality,[46.33],[2.0],[7],Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,48cb52d78c992487
Add a comment,http://books.toscrape.com/media/cache/fb/c5/fbc5ed73ca9452af655115c7bd006e83.jpg,[57.48],[1.0],[3],The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),8f5d16a5a9bd58b2
Add a comment,http://books.toscrape.com/media/cache/f4/00/f4000d1f2348894ec00679674a5b5d4f.jpg,[47.8],[3.0],[3],The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),a8b0ea6490bc818f
Add a comment,http://books.toscrape.com/media/cache/e8/67/e867d03f2a94d84ff1be5800a34b9a95.jpg,[37.19],[3.0],[3],The Purpose Driven Life: What on Earth Am I Here for?,0e7beedf0ee9380c
Add a comment,http://books.toscrape.com/media/cache/fe/74/fe7494f92b03b9c178cf19a038011f18.jpg,[34.77],[1.0],[3],The Rest Is Noise: Listening to the Twentieth Century,e2d47e82c50d41d9
Add a comment,http://books.toscrape.com/media/cache/ba/ab/baab7240d3d472f4f868ae8b4481365b.jpg,[10.02],[2.0],[3],The Tipping Point: How Little Things Can Make a Big Difference,224fa77d4b248046
Add a comment,http://books.toscrape.com/media/cache/37/09/3709ede7460008ec539deb7cd44b688e.jpg,[46.42],[2.0],[5],A Game of Thrones (A Song of Ice and Fire #1),03cbb67c0f990d87
Add a comment,http://books.toscrape.com/media/cache/db/27/db27a90497bcb1b1d8e59dec06264256.jpg,[42.27],[1.0],[5],Evicted: Poverty and Profit in the American City,75cc85cdbe9ad46b
Add a comment,http://books.toscrape.com/media/cache/6d/73/6d739416776a66c258ef0cb35f3eb9e1.jpg,[10.79],[3.0],[5],A Clash of Kings (A Song of Ice and Fire #2),89a89e76f3516357
Add a comment,http://books.toscrape.com/media/cache/2d/d0/2dd096d0fa0af96560c16aeffea83d4a.jpg,[50.11],[3.0],[3],Rogue Lawyer (Rogue Lawyer #1),b4f5672f68ec3a83
Add a comment,http://books.toscrape.com/media/cache/36/94/3694ded38770738af6a6959636124331.jpg,[46.29],[1.0],[3],Sarah's Key,5b2cd5b31a510848
Add a comment,http://books.toscrape.com/media/cache/92/2f/922f6fcd3282a0da76cc14fc13ae2411.jpg,[52.33],[2.0],[3],Seven Days in the Art World,07806456878931bc
Add a comment,http://books.toscrape.com/media/cache/b4/54/b4540e3eb2e980d0c2b45c5c4432f28b.jpg,[24.55],[1.0],[3],The Catcher in the Rye,487449f4f6322f0f
Add a comment,http://books.toscrape.com/media/cache/fc/42/fc42d56ac8d3ee46bfea880d0cf46a5e.jpg,[47.84],[1.0],[3],The Case for Christ (Cases for Christianity),970bd3316219e7dc
Add a comment,http://books.toscrape.com/media/cache/e5/cb/e5cb32b76ae2e45823f1d50446c9ae58.jpg,[41.32],[5.0],[3],The Complete Poems,23707d3ddf14a999
Add a comment,http://books.toscrape.com/media/cache/a2/2a/a22a10fdc420dce290c7c85dde23f093.jpg,[53.71],[5.0],[3],The Blind Side: Evolution of a Game,cd3dcd83bb002e78
Add a comment,http://books.toscrape.com/media/cache/4d/3a/4d3a9198fd6fd7b66ad7742b37c7f3ac.jpg,[50.96],[1.0],[3],#GIRLBOSS,165affa7adb5eded
Add a comment,http://books.toscrape.com/media/cache/e9/6e/e96eeedd915f4af106df0977404a0b8f.jpg,[36.17],[2.0],[3],Cosmos,dbe33cf29ef1623d
Add a comment,http://books.toscrape.com/media/cache/33/fb/33fba23401f34bd8cd5287f5ca640502.jpg,[21.28],[4.0],[3],Fire Bound (Sea Haven/Sisters of the Heart #5),2ed3a794a70aa85f
Add a comment,http://books.toscrape.com/media/cache/d9/54/d9540861f39f0b181b3fb13d57025f0c.jpg,[34.98],[2.0],[3],Manuscript Found in Accra,546da23278482b0a
Add a comment,http://books.toscrape.com/media/cache/94/23/9423f5e8b08195183f7ee002f3b48b33.jpg,[54.43],[1.0],[1],The Light of the Fireflies,04e43893e32f9d29
Add a comment,http://books.toscrape.com/media/cache/c4/d2/c4d2764a45584960ee18de814191e21a.jpg,[31.38],[3.0],[2],The Sense of an Ending,4130678275eb7c8c
Add a comment,http://books.toscrape.com/media/cache/ab/bf/abbf443d42de3bad8d145794534934bb.jpg,[33.78],[3.0],[1],The Republic,0ec9d2b018fb10d8
Add a comment,http://books.toscrape.com/media/cache/46/09/4609b4e20bb1d076693b2d24e8e90704.jpg,[29.64],[3.0],[1],The Odyssey,f0512adadffd2480
Add a comment,http://books.toscrape.com/media/cache/20/fd/20fd23f982b45a59f6c1a31e6804e735.jpg,[24.89],[3.0],[1],Lord of the Flies,71a6471bbdac21d9
Add a comment,http://books.toscrape.com/media/cache/b5/c7/b5c74ed5e387f2c13324e294c4b6412c.jpg,[14.76],[3.0],[1],The Communist Manifesto,18b4545a5ed15581
Add a comment,http://books.toscrape.com/media/cache/9e/14/9e14dd99b3b2f07f5a43ee2e007c1c26.jpg,[16.16],[1.0],[1],The Iliad,86d8bd7afa5b51b3
category,image_url,price,rating,stock,title,upc
Biography,http://books.toscrape.com/media/cache/86/54/86546f67cb4a3112b15b03a4ec2e7255.jpg,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Biography,http://books.toscrape.com/media/cache/4c/09/4c090b85892f532210e44d84b752b64d.jpg,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
Paranormal,http://books.toscrape.com/media/cache/39/82/39826643a2e100f9e763079d7d5867f4.jpg,[15.4],[1.0],[1],"Vampire Knight, Vol. 1 (Vampire Knight #1)",e7e87087b1a44711
Biography,http://books.toscrape.com/media/cache/c2/7e/c27efce6a2321c10b0d34035308ace37.jpg,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Biography,http://books.toscrape.com/media/cache/ec/2a/ec2a7df6fdafc7e6f97b6c6da7980584.jpg,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Biography,http://books.toscrape.com/media/cache/d7/cb/d7cbdb36b54398ba3876488726befc3d.jpg,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
category,image_url,price,rating,stock,title,upc
Biography,http://books.toscrape.com/media/cache/86/54/86546f67cb4a3112b15b03a4ec2e7255.jpg,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Biography,http://books.toscrape.com/media/cache/ec/2a/ec2a7df6fdafc7e6f97b6c6da7980584.jpg,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Fiction,http://books.toscrape.com/media/cache/05/87/0587ab519222a61f803fa4570c325ad2.jpg,[47.61],[5.0],[17],Private Paris (Private #10),b12b89017878a60d
Fiction,http://books.toscrape.com/media/cache/ee/cf/eecfe998905e455df12064dba399c075.jpg,[50.1],[1.0],[20],Soumission,6957f44c3847a760
Biography,http://books.toscrape.com/media/cache/4c/09/4c090b85892f532210e44d84b752b64d.jpg,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
Biography,http://books.toscrape.com/media/cache/c2/7e/c27efce6a2321c10b0d34035308ace37.jpg,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Biography,http://books.toscrape.com/media/cache/d7/cb/d7cbdb36b54398ba3876488726befc3d.jpg,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Fiction,http://books.toscrape.com/media/cache/29/e0/29e036acd8a6e3daa787ce2bc05bdbbb.jpg,[54.11],[3.0],[16],The Murder That Never Was (Forensic Instincts #5),d01ac97e2b8947c2
Fiction,http://books.toscrape.com/media/cache/a3/ad/a3ade5edecde67449329c1ebb016c049.jpg,[21.04],[2.0],[15],Tuesday Nights in 1980,b8736690cf263a3c
Fiction,http://books.toscrape.com/media/cache/8c/54/8c54a50576c204b80165a13545f73028.jpg,[17.27],[5.0],[16],Thirst,709822d0b5bcb7f4
Fiction,http://books.toscrape.com/media/cache/d4/73/d473f01f077b91ce04e345305a3fa217.jpg,[51.36],[5.0],[15],The Regional Office Is Under Attack!,0651062381f0636a
Fiction,http://books.toscrape.com/media/cache/a3/eb/a3ebe1ca5df0d3ff3e3d2b8fb8b2a551.jpg,[26.41],[3.0],[14],Still Life with Bread Crumbs,fe44cc816576c652
Fiction,http://books.toscrape.com/media/cache/bd/ad/bdad8933d15df7d7c6f3a16a9315048b.jpg,[45.21],[3.0],[14],Take Me with You,2c04320e110a14a3
Fiction,http://books.toscrape.com/media/cache/87/a2/87a2fddd7f6b240c0351e1eb950b6716.jpg,[50.27],[5.0],[16],"We Love You, Charlie Freeman",8d455c7539795d2a
Fiction,http://books.toscrape.com/media/cache/34/c9/34c988a76c3cd7c04566d3030d8e7331.jpg,[42.15],[4.0],[15],The Vacationers,fd3a622648667296
Fiction,http://books.toscrape.com/media/cache/0a/9a/0a9a0b211bee87b544bd97a8320a0b73.jpg,[27.09],[3.0],[14],Eligible (The Austen Project #4),9eaf58b03a2779cc
Fiction,http://books.toscrape.com/media/cache/8d/a3/8da36f821f35b795a3a420c84ca9737e.jpg,[10.6],[4.0],[14],I Am Pilgrim (Pilgrim #1),aeff7b87a8e83ebb
Fiction,http://books.toscrape.com/media/cache/65/7f/657f9a3b7c0579c7fa499dddddd59422.jpg,[28.9],[1.0],[14],Mr. Mercedes (Bill Hodges Trilogy #1),caa2e5b3fb1b2d4c
Fiction,http://books.toscrape.com/media/cache/81/3e/813e1d11126330de52d9368e78d116cc.jpg,[25.85],[3.0],[14],The First Hostage (J.B. Collins #2),a86972014275e072
Fiction,http://books.toscrape.com/media/cache/06/a6/06a62270c0700ae3c537cf394cf145ee.jpg,[52.67],[4.0],[14],The Testament of Mary,081305e6df719dff
Fiction,http://books.toscrape.com/media/cache/2d/a3/2da3464fa2010bebedfba9eca77e42be.jpg,[24.48],[3.0],[14],My Mrs. Brown,cc82685d9f49bc2c
Fiction,http://books.toscrape.com/media/cache/63/62/63623a0b014b1f26e49aa61786e6e708.jpg,[55.84],[4.0],[14],Shtum,830fb3967c74866d
Fiction,http://books.toscrape.com/media/cache/28/db/28db43984c765a1d02fd3495f5c52eb6.jpg,[41.56],[1.0],[14],My Name Is Lucy Barton,727bf2b86b19ad88
Fiction,http://books.toscrape.com/media/cache/76/80/76804e1881b630a110794fef5aad02cf.jpg,[53.53],[5.0],[15],Finders Keepers (Bill Hodges Trilogy #2),edb3097e71330040
Fiction,http://books.toscrape.com/media/cache/37/d1/37d108ff5b19028a52ddd73dba35d543.jpg,[27.88],[5.0],[14],The Time Keeper,e9906e2f0d189745
Fiction,http://books.toscrape.com/media/cache/e1/8d/e18dc724d16d7501dcaaa56bdb49c16d.jpg,[11.21],[5.0],[14],Dear Mr. Knightley,94a958ea126cdcd5
Fiction,http://books.toscrape.com/media/cache/5b/34/5b34d6d54467af2d5e44a5f91031adf2.jpg,[14.39],[4.0],[14],Eight Hundred Grapes,1d6dd0c87d90fe92
Fiction,http://books.toscrape.com/media/cache/7c/c3/7cc38fa8812d931bf38b10b7d91b4266.jpg,[59.45],[1.0],[11],The Improbability of Love,437d8dea9272d0a9
Fiction,http://books.toscrape.com/media/cache/f3/fc/f3fc38185b3b6ede38fd9dea2590c01f.jpg,[17.03],[3.0],[14],Balloon Animals,9b65f676984c9f0c
Fiction,http://books.toscrape.com/media/cache/e9/e2/e9e22f047d6733f6c9dbbb8bf5342b09.jpg,[39.72],[1.0],[14],A Man Called Ove,8682c03de6a844ff
Fiction,http://books.toscrape.com/media/cache/98/df/98df70802a22c17dac6026645da4ab87.jpg,[46.29],[5.0],[12],The Silent Sister (Riley MacPherson #1),ce1ae197ada2aec4
Fiction,http://books.toscrape.com/media/cache/a5/ad/a5ad88ff798c629eb24b19188c1ea902.jpg,[56.54],[2.0],[12],The Dinner Party,c6ca293d4810e0d5
Fiction,http://books.toscrape.com/media/cache/a0/f6/a0f6ff77c5f4604f88b1c74bbf669995.jpg,[25.01],[3.0],[14],Cometh the Hour (The Clifton Chronicles #6),28cf0d1c51b491e5
Fiction,http://books.toscrape.com/media/cache/f3/28/f3285723c344576168d60806d266979a.jpg,[51.15],[1.0],[8],The High Mountains of Portugal,4f283dfcbeccc0d4
Fiction,http://books.toscrape.com/media/cache/a8/b9/a8b940d9bf27d6aedad73f0230c14f56.jpg,[58.54],[2.0],[8],Miller's Valley,bff270fe9c86a5a9
Fiction,http://books.toscrape.com/media/cache/79/47/79478ba5ab673fbdfe79a745a14fb9de.jpg,[16.34],[3.0],[11],Daredevils,f608c903c451f387
Fiction,http://books.toscrape.com/media/cache/4c/ae/4cae2beda2d1c5f851f8971f94fdbc91.jpg,[28.03],[1.0],[9],The Shack,903a9f8090104c2c
Fiction,http://books.toscrape.com/media/cache/4c/4c/4c4ce2398c6ad6c074e8061f739964cc.jpg,[48.48],[3.0],[11],11/22/63,a9d7b75461084a26
Fiction,http://books.toscrape.com/media/cache/8f/26/8f269de5ec7cef02e538eb0466c68f0c.jpg,[45.14],[1.0],[11],Lies and Other Acts of Love,469508882dfc1991
Fiction,http://books.toscrape.com/media/cache/9b/1a/9b1a03d05c16c71050daefad8840ec91.jpg,[13.34],[2.0],[11],Mothering Sunday,47e1b2d43f709995
Fiction,http://books.toscrape.com/media/cache/81/c3/81c36cb2510dc47892dde52f3989a53f.jpg,[19.02],[1.0],[6],Me Before You (Me Before You #1),7a2b51f69e81c722
Fiction,http://books.toscrape.com/media/cache/5e/4b/5e4b5ef50c54f173456606e70719cc84.jpg,[49.67],[3.0],[7],Memoirs of a Geisha,dac4b5847454fd9b
Fiction,http://books.toscrape.com/media/cache/fe/a4/fea443d174c2c9f0c7903f6c6a3ecc62.jpg,[42.78],[4.0],[7],The Bourne Identity (Jason Bourne #1),d250657f0ebc5d73
Fiction,http://books.toscrape.com/media/cache/23/2f/232fdac6b00cd3c7cd2b2336ff3b730e.jpg,[21.96],[4.0],[8],Hystopia: A Novel,0bfdef63285d3019
Fiction,http://books.toscrape.com/media/cache/2a/0a/2a0a1543dd5f3edc407ab9989f29e992.jpg,[40.2],[4.0],[7],Sister Dear,7ffebdd1d5148aef
Fiction,http://books.toscrape.com/media/cache/c6/ac/c6ac29eaf9e7de9de175d014d2132428.jpg,[26.26],[4.0],[3],The Nightingale,29d6d87f3418638b
Fiction,http://books.toscrape.com/media/cache/fc/c2/fcc2f183dde593b991e01585f5df1e09.jpg,[23.21],[3.0],[3],Three-Martini Lunch,57f755143ee96fd4
Fiction,http://books.toscrape.com/media/cache/9d/3c/9d3c5430a627260e4a8c9ca02c8a8924.jpg,[26.58],[5.0],[4],Atlas Shrugged,78a4ac98191ac675
Fiction,http://books.toscrape.com/media/cache/86/78/86786e20ec80b5b3ec66657870750b73.jpg,[58.0],[5.0],[5],Digital Fortress,94bb629a3f6dd00b
Fiction,http://books.toscrape.com/media/cache/0b/98/0b98d840b298be76c1a982a8d1f4688f.jpg,[59.98],[3.0],[5],Last One Home (New Beginnings #1),07e6810fd3236bda
Fiction,http://books.toscrape.com/media/cache/65/6d/656d264685962b55ff14fb310b0ae747.jpg,[40.32],[4.0],[6],Deception Point,4e3b183180e2a992
Fiction,http://books.toscrape.com/media/cache/ed/25/ed2540d08b66683313ffee9241bfd926.jpg,[24.73],[3.0],[5],The Little Paris Bookshop,dfd9ff1f343cdaff
Fiction,http://books.toscrape.com/media/cache/30/64/3064d8c687f770efea3fabeac0cd2d6f.jpg,[45.56],[3.0],[5],The Firm,ad84f18659e6bfe2
Fiction,http://books.toscrape.com/media/cache/6b/5f/6b5fba0f415741ab61c0cf24d11933ab.jpg,[34.22],[5.0],[5],Siddhartha,84bb29c53592ac40
Fiction,http://books.toscrape.com/media/cache/ec/15/ec15a39e6f193636635f20a7354b08f6.jpg,[41.0],[5.0],[3],Inferno (Robert Langdon #4),6c4646d90b60a56c
Fiction,http://books.toscrape.com/media/cache/4a/96/4a96cd8c43ea6c74d5b8d9ce1d47c187.jpg,[44.58],[2.0],[5],The Expatriates,fe7210553d56c097
Fiction,http://books.toscrape.com/media/cache/26/9e/269e8962f39f359559a46cae86576128.jpg,[44.97],[1.0],[3],Jurassic Park (Jurassic Park #1),a0dd11f6abc421ec
Fiction,http://books.toscrape.com/media/cache/8a/fe/8afee4ecfc952010bcb70f72e4728d16.jpg,[22.1],[1.0],[3],The Art of Fielding,2858ac90c4758e1f
Fiction,http://books.toscrape.com/media/cache/9b/37/9b37bcfb1a44dabbef36f5bf899df4b0.jpg,[12.47],[3.0],[3],Lila (Gilead #3),4ef75307fb64e2ad
Fiction,http://books.toscrape.com/media/cache/90/81/90810ccd85e7f49b9040246800a19b44.jpg,[22.96],[2.0],[3],The Da Vinci Code (Robert Langdon #2),dabf11918b48b40c
Fiction,http://books.toscrape.com/media/cache/95/27/9527e680e56bb3f8d9bf4e8882a3b723.jpg,[52.51],[5.0],[3],The Husband's Secret,ff6bb30dd0c482a6
Fiction,http://books.toscrape.com/media/cache/c5/3f/c53fd6a9300ac091351e3830273a4d42.jpg,[22.11],[1.0],[3],Big Little Lies,d3f9c4539c0caa64
Fiction,http://books.toscrape.com/media/cache/c9/b9/c9b9ce0ea36cc737d1693ac89c5d0361.jpg,[16.78],[3.0],[2],The Course of Love,f3c76b53b239f511
Fiction,http://books.toscrape.com/media/cache/05/37/053789bf4a9b520bf76fc9eea14e780e.jpg,[49.13],[5.0],[3],Crazy Rich Asians (Crazy Rich Asians #1),c9782ad2a0ed9331
Fiction,http://books.toscrape.com/media/cache/c8/9e/c89ec72cf70f8d37e049223b90708a5a.jpg,[27.41],[1.0],[3],The Infinities,554e9e2d532b3a87
Fiction,http://books.toscrape.com/media/cache/fb/6c/fb6c914f1da870442031095c85f4cf80.jpg,[30.66],[3.0],[1],The Bette Davis Club,dfb0849016bc122c
Fiction,http://books.toscrape.com/media/cache/a6/37/a6378b97d817267de38ba58dfd0db412.jpg,[12.34],[5.0],[1],The Silent Wife,b78deb463531d078
Fiction,http://books.toscrape.com/media/cache/ed/be/edbe83ef3ebf5c22b9ebc139d3232947.jpg,[57.2],[5.0],[1],Kitchens of the Great Midwest,06f6a57a6d532844
Fiction,http://books.toscrape.com/media/cache/f8/dd/f8ddbaef30884ed017b662b4069b78d4.jpg,[51.96],[3.0],[1],When I'm Gone,c5f91eb481427dc5
Fiction,http://books.toscrape.com/media/cache/26/4f/264f79395041ac4b88038030da0433cd.jpg,[39.07],[5.0],[1],Bright Lines,230ac636ea0ea415
category,image_url,price,rating,stock,title,upc
Biography,http://books.toscrape.com/media/cache/4c/09/4c090b85892f532210e44d84b752b64d.jpg,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
Biography,http://books.toscrape.com/media/cache/86/54/86546f67cb4a3112b15b03a4ec2e7255.jpg,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Biography,http://books.toscrape.com/media/cache/ec/2a/ec2a7df6fdafc7e6f97b6c6da7980584.jpg,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Biography,http://books.toscrape.com/media/cache/d7/cb/d7cbdb36b54398ba3876488726befc3d.jpg,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Business,http://books.toscrape.com/media/cache/9f/e7/9fe7f6432f216b166cb36f16130f20f6.jpg,[21.59],[5.0],[11],Born for This: How to Find the Work You Were Meant to Do,816180220e8cb419
Biography,http://books.toscrape.com/media/cache/c2/7e/c27efce6a2321c10b0d34035308ace37.jpg,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Business,http://books.toscrape.com/media/cache/50/4b/504b1891508614ff9393563f69d66c95.jpg,[27.55],[3.0],[15],The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,56e4f9eab2e8e674
Business,http://books.toscrape.com/media/cache/0f/76/0f76b00ea914ced1822d8ac3480c485f.jpg,[12.61],[5.0],[15],The Third Wave: An Entrepreneur’s Vision of the Future,3bebf34ee9330cbd
Business,http://books.toscrape.com/media/cache/fe/1a/fe1afbd5caf79c3c957bfc5cf46f141e.jpg,[43.14],[1.0],[12],Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,8976d9161c027142
Business,http://books.toscrape.com/media/cache/67/e8/67e81a7a82578a919a48816330836090.jpg,[21.0],[3.0],[11],The Art of Startup Fundraising,1c584f82a7a1c4f0
Business,http://books.toscrape.com/media/cache/e1/1b/e11bea016d0ae1d7e2dd46fb3cb870b7.jpg,[33.34],[4.0],[19],The Dirty Little Secrets of Getting Your Dream Job,2597b5a345f45e1b
Business,http://books.toscrape.com/media/cache/1e/3e/1e3e1572e17ade03b21c44617fbc4d68.jpg,[38.85],[5.0],[14],Made to Stick: Why Some Ideas Survive and Others Die,b96fc7a0ea7d4b45
Business,http://books.toscrape.com/media/cache/52/6e/526e9f360da288db64ca70c89cdbcaa9.jpg,[33.92],[3.0],[3],The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,70c7c3ca7f9b2728
Business,http://books.toscrape.com/media/cache/fc/21/fc21d144c7289e5b1cb133e01a925126.jpg,[23.99],[2.0],[15],Shoe Dog: A Memoir by the Creator of NIKE,0e0dcc3339602b28
Business,http://books.toscrape.com/media/cache/46/1c/461cf454be3aac0b4cd066247c892679.jpg,[51.74],[1.0],[7],"Rich Dad, Poor Dad",8486f61aa81a3daa
Business,http://books.toscrape.com/media/cache/12/23/12233a9d0bf8187a988c27c6a54b3d31.jpg,[44.88],[2.0],[3],Rework,8e9dd8431170c09e
Business,http://books.toscrape.com/media/cache/a5/7e/a57ef7bdbaf704fca07ab6dd125b54f9.jpg,[36.91],[1.0],[8],The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,a2308a936e898d48
category,image_url,price,rating,stock,title,upc
Biography,http://books.toscrape.com/media/cache/86/54/86546f67cb4a3112b15b03a4ec2e7255.jpg,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Science,http://books.toscrape.com/media/cache/e1/1e/e11e7e9514a123aee2415a1def85e638.jpg,[57.36],[5.0],[16],Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,e4f74c16de34d440
Science,http://books.toscrape.com/media/cache/5d/a5/5da545b9d44464af8b3d0a9511a050ca.jpg,[44.74],[4.0],[14],Sorting the Beef from the Bull: The Science of Food Fraud Forensics,3edcccc4f341fb1a
Biography,http://books.toscrape.com/media/cache/d7/cb/d7cbdb36b54398ba3876488726befc3d.jpg,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Biography,http://books.toscrape.com/media/cache/c2/7e/c27efce6a2321c10b0d34035308ace37.jpg,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Biography,http://books.toscrape.com/media/cache/ec/2a/ec2a7df6fdafc7e6f97b6c6da7980584.jpg,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Biography,http://books.toscrape.com/media/cache/4c/09/4c090b85892f532210e44d84b752b64d.jpg,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
Science,http://books.toscrape.com/media/cache/9b/69/9b696c2064d6ee387774b6121bb4be91.jpg,[13.76],[3.0],[5],The Grand Design,3213b1f13f5f0f7c
Science,http://books.toscrape.com/media/cache/d5/45/d54527d34174d5dd7eaeaaffdfcb3c5c.jpg,[10.01],[4.0],[7],The Origin of Species,0345872b14f9e774
Science,http://books.toscrape.com/media/cache/a3/9e/a39e7c5c9fc61c2ae0f81116aa8cbb0e.jpg,[42.96],[4.0],[16],The Most Perfect Thing: Inside (and Outside) a Bird's Egg,aadee1c326d286e3
Science,http://books.toscrape.com/media/cache/b2/5a/b25a722c3bab8b311454bc251a75334a.jpg,[55.91],[1.0],[9],"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",ca74f2e3c35a3e77
Science,http://books.toscrape.com/media/cache/29/5c/295ca7f5981786e8b2c6616d10158808.jpg,[28.41],[1.0],[8],Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,0c11e2d068768dbb
Science,http://books.toscrape.com/media/cache/8e/cb/8ecbec21e76445ee83229a439e22aeaa.jpg,[37.55],[1.0],[12],Tipping Point for Planet Earth: How Close Are We to the Edge?,148715df5a02ea5e
Science,http://books.toscrape.com/media/cache/7c/04/7c04c7a92b5ba83361eba81fa364a2ca.jpg,[16.28],[2.0],[5],Peak: Secrets from the New Science of Expertise,6036239d2ab349b7
Science,http://books.toscrape.com/media/cache/ae/f9/aef933758e39ba5e4327b2152478bb1a.jpg,[30.6],[4.0],[3],Seven Brief Lessons on Physics,281a244ce1954711
Science,http://books.toscrape.com/media/cache/a5/50/a550edf8668b36d52d37080a804944ab.jpg,[25.83],[2.0],[3],"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",61002f3b7ba5d780
Science,http://books.toscrape.com/media/cache/d7/63/d763b806d6f0fb6580f16d08e00bdba6.jpg,[29.45],[1.0],[1],The Selfish Gene,6f2c0a9adbb2bca9
Science,http://books.toscrape.com/media/cache/47/cd/47cd27d1ae8935f974541829eea328f2.jpg,[57.35],[5.0],[3],"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",63c0826ef59eae66
Science,http://books.toscrape.com/media/cache/5e/db/5edba3f8d50df6306bc5aa3f2516bd0c.jpg,[13.03],[4.0],[3],"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",c6bf14cb901c63ac
category,image_url,price,rating,stock,title,upc
Biography,http://books.toscrape.com/media/cache/86/54/86546f67cb4a3112b15b03a4ec2e7255.jpg,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Biography,http://books.toscrape.com/media/cache/ec/2a/ec2a7df6fdafc7e6f97b6c6da7980584.jpg,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
